"PERMIT_NO","ACTION_DATE","ACTION_TYPE","ACTION_BY","ACTION_DESCRIPTION","LOCKID","RECORDID","COMPLETED_DATE","update_originator_id","update_timestamp","create_timestamp","exID","insert_originator_id"
"BP2019-0485","2019-10-03 00:00:00","CALLED APPLICANT","TOM DAVIS","(10/3/2019 7:48:54 AM TD) Action Created(10/3/2019 7:48 AM TD) Foundation permit is ready to issue.","","TD:1910030748544634","","0","000000007F914C30","2140228654","","0"
"BP2019-0384","2020-05-15 00:00:00","FISCAL COMMENTS","TOM DAVIS","(5/15/2020 8:49:15 AM TD) Action Created(5/15/2020 8:49 AM TD) BV Charged an additional $220 for the 4th Structural Cycle. I added the fee to the total.","","TD:2005150849141703","2020-05-15 00:00:00","0","0000000087FD988D","2281514410","","0"
"BP2019-0233","2020-06-24 00:00:00","EXTENSION REQUEST","TOM DAVIS","(6/24/2020 6:38:34 AM TD) Action Created(6/24/2020 6:38 AM TD) I extended this permit out 90 days because of Covid.","","TD:2006240638330892","","0","000000008990852A","2307949864","","0"
"BP2019-0384","2020-08-26 00:00:00","FISCAL COMMENTS","TOM DAVIS","(8/26/2020 7:58:47 AM TD) Action Created(8/26/2020 7:58 AM TD) Charged Bill Ross one hour of research at the Chief Building Officials rate of $269.00.","","TD:2008260758478291","","0","000000008C33EB3E","2352212796","","0"
"BP2016-0793","2020-11-10 00:00:00","EXTENSION REQUEST","TOM DAVIS","(11/10/2020 11:40:14 AM TD) Action Created(11/10/2020 11:40 AM TD) I extended the permit out to 11/20/20. I cannot get to the inspection John requested by the 12th.","","TD:2011101140147238","","0","000000008FA42E08","2409901574","","0"
"FE2020-0582","2020-12-21 00:00:00","FISCAL COMMENTS","TOM DAVIS","(12/21/2020 11:05:15 AM TD) Action Created(12/21/2020 11:05 AM TD) FE2019-0160 are the FSA fees paid on Phase 1. If the project turns into an Assembly Occupancy, The difference in FSA fees mustbe paid.","","TD:2012211105159472","","0","00000000913ED2E6","2436813540","","0"
"BP2019-0180","2019-02-27 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(2/27/2019 10:49:06 AM TG) Action Created(2/27/2019 10:49 AM TG) I voided the permit & reviews until we receive the plans/docs from Lorelei Foronda (858.754.2151). She will pay either online/by phone once we let her know the fees.","","TG:1902271049065955","","0","00000000743136C3","1949382337","","0"
"BP2019-0222","2019-03-11 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(3/11/2019 11:05:23 AM TG) Action Created(3/11/2019 11:05 AM TG) Applicant turned in the Fire Fee Form, Auth of Agent Form, Owner/Builder. I let him know what reviews were still pending.","","TG:1903111105235353","","0","0000000074C6318A","1959145864","","0"
"BP2019-0233","2019-03-12 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(3/12/2019 3:56:29 PM TG) Action Created(3/12/2019 3:56 PM TG) John Trembley will be coming back with a check  for submittal. I voided the reviews and status until then.(3/13/2019 4:07 PM TG)John T. came in today with payment. I set the review dates and status to <Quote>Under Review.<Quote>","","TG:1903120356290247","","0","0000000074EEA013","1960661756","","0"
"BP2019-0286","2019-03-22 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(3/22/2019 8:15:40 AM TG) Action Created(3/22/2019 8:15 AM TG) Voided the permit until we receive submittal documents and payment.","","TG:1903220815400675","","0","00000000756EEA05","1970203139","","0"
"FE2018-0256","2019-04-09 00:00:00","FISCAL COMMENTS","TRACY GONZALEZ","(4/9/2019 11:19:38 AM TG) Action Created(4/9/2019 11:19 AM TG) I unpaid the $6,515 that was paid on 4/8/2019 due to an error made on check number 251/ receipt number 86383. The check paid for both FE2018-0256 and BP2018-0705  in the amount of $7,427.47 and was missing 4 cents ($4,427.43). The owner plans to come in and cut a new check to resolve this issue.","","TG:1904091119385790","","0","00000000763FC40E","1983890444","","0"
"BP2019-0356","2019-04-17 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(4/17/2019 11:08:34 AM TG) Action Created(4/17/2019 11:08 AM TG) This permit is Void until the applicant pays submittal fees. I took out the reviews as well.(4/25/2019 1:10 PM TG)Johny Trembley came in today to pay the fees. I changed the Status back to 'under review' and set the review dates.","","TG:1904171108344883","","0","0000000077179B4B","1990594783","","0"
"BP2019-0384","2019-04-23 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(4/23/2019 11:28:25 AM TG) Action Created(4/23/2019 11:28 AM TG) ESTIMATE ONLY -  Make sure to VERIFY the LOCATION at time of Submittal. Brian gave me APN # 052-050-099 which didn't match and the intersection of CR8 & 99W to go off of which led me to Grant Park Development, but the APN's here don't match.I recieved plans on 6/10/2019 around 4PM and needed to get back to Julio T. after we decided how many permits the plans needed to be separated into. Once the fees/reviews are reworked, I will be sending Julio T. the submittal fees and district fee forms.","","TG:1904231128259601","","0","00000000798915DE","1995539004","","0"
"BP2019-0463","2019-05-16 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(5/16/2019 11:25:49 AM TG) Action Created(5/16/2019 11:25 AM TG) This is a 'placeholder' permit w/ no fees or reviews. Please see BP2019-0462 for all fees and reviews.","","TG:1905161125490215","","0","000000007830447B","2016429177","","0"
"BP2019-0466","2019-05-16 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(5/16/2019 11:26:34 AM TG) Action Created(5/16/2019 11:26 AM TG) This is a 'placeholder' permit w/ no fees or reviews. Please see BP2019-0462 for all fees and reviews.","","TG:1905161126340219","","0","000000007830451F","2016429341","","0"
"BP2019-0467","2019-05-16 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(5/16/2019 11:26:46 AM TG) Action Created(5/16/2019 11:26 AM TG) This is a 'placeholder' permit w/ no fees or reviews. Please see BP2019-0462 for all fees and reviews.","","TG:1905161126460223","","0","0000000078304542","2016429376","","0"
"BP2019-0468","2019-05-16 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(5/16/2019 11:26:56 AM TG) Action Created(5/16/2019 11:26 AM TG) This is a 'placeholder' permit w/ no fees or reviews. Please see BP2019-0462 for all fees and reviews.","","TG:1905161126560224","","0","000000007830455F","2016429405","","0"
"FE2019-0367","2019-05-30 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(5/30/2019 3:52:54 PM TG) Action Created(5/30/2019 3:52 PM TG) See attached research packets for both parcels ending in -025 & -027","","TG:1905300352543126","","0","0000000078E0B915","2027993363","","0"
"FE2019-0390","2019-06-07 00:00:00","FISCAL COMMENTS","TRACY GONZALEZ","(6/7/2019 3:20:23 PM TG) Action Created(6/7/2019 3:20 PM TG) No FSA Fees due. Please reference BP2017-1054 for the Demolition permit of the previous SFD on the parcel. The new SFD on BP2019-0549 will be issued within the 2 year period, as stated within the FSA Ordinance, CH 14.","","TG:1906070320230853","","0","00000000795C0D55","2036075859","","0"
"BP2018-0282","2019-06-07 00:00:00","EXTENSION REQUEST","TRACY GONZALEZ","(6/7/2019 4:10:23 PM TG) Action Created(6/7/2019 4:10 PM TG) Please see the attachments for the Extension Request. New expiration date is 12/19/2019.","","TG:1906070410231027","","0","00000000795D12F7","2036142837","","0"
"BP2019-0384","2019-06-24 00:00:00","FISCAL COMMENTS","TRACY GONZALEZ","(6/24/2019 2:15:42 PM TG) Action Created(6/24/2019 2:15 PM TG) Sunny Ghai / Julio Tinajero submitted paperwork to revise the Construction Valuation to a lower amount for the Starbucks Cold Shell permit. The amount went from $470,000 to $300,000. The applicants had accidentally used the valuation for the entire project on site that was not included in the scope of work of the project submitted. They had also filled out the application incorrectly to only include the 2,200 sqft portion for Starbucks, and left out the 1,580 sqft for the  Retail Suite connected to it. A refund request has been submitted. For the refund, we are only taking the fees below into consideration: Calgreen, Disabled Access, Plan Review and Title 24 since the other fees are flat fees and not dependent on the project valuation. The original fees paid were in the amount of $5,396.18; refer to Receipt # E1960. With the adjusted amount using the new project valuation of $300,000, the difference is $1,362.31. Please see the attached document for the Fee Adjustment to support the calculated differences.","","TG:1906240215426864","","0","000000007A24EF4E","2049167849","","0"
"BP2019-0746","2019-07-26 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(7/26/2019 1:26:04 PM TG) Action Created(7/26/2019 1:26 PM TG) This is an estimate created for Lauren Fields - she's going to be working with EH and Planning to determine septic location, zoning, setbacks, etc. for the future MH she plans to install.","","TG:1907260126043625","","0","000000007BE097F6","2078316532","","0"
"BP2019-0671","2019-08-09 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(8/9/2019 10:41:05 AM TG) Action Created(8/9/2019 10:41 AM TG) I emailed Jeff Roy that the permit was ready to issue pending payment of FSA fees and the balance due.","","TG:1908091041056254","","0","000000007CAFF208","2091905542","","0"
"FE2019-0604","2019-08-26 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(8/26/2019 2:04:32 PM TG) Action Created(8/26/2019 2:04 PM TG) 7451 County Road 91B","","TG:1908260204321247","","0","000000007D861A75","2105940595","","0"
"BP2019-0868","2019-08-26 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(8/26/2019 3:23:14 PM TG) Action Created(8/26/2019 3:23 PM TG) Myvui Le and Contractor came in today to discuss that they are doing some cosmetic upgrades inside the home (paint, texturing, trim, floors) and wanted","","TG:1908260323141683","","0","000000007D8C267A","2106336888","","0"
"FE2019-0206","2019-08-30 00:00:00","FISCAL COMMENTS","TRACY GONZALEZ","(8/30/2019 10:01:24 AM TG) Action Created(8/30/2019 10:01 AM TG) Steve Rosano filled out a refund request for FE2019-0206 due to an incorrect charge on FSA Fees. We charged the fee based on the building being used for storage when it was supposed to be for office. See receipt number 87356 in the amount of $105.60.","","TG:1908301001246197","","0","000000007DDA89EB","2111474153","","0"
"BP2019-0890","2019-09-03 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(9/3/2019 10:54:38 AM TG) Action Created(9/3/2019 10:54 AM TG) The owner came in to inquire about zoning/estimate information for a potential accessory structure. I took the RVW dates off so it wouldn't trigger any RVW's.","","TG:1909031054387198","","0","000000007DEE2659","2112759383","","0"
"BP2019-0976","2019-09-20 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(9/20/2019 11:26:51 AM TG) Action Created(9/20/2019 11:26 AM TG) Customer came in to inquire about permit fees and flood zone requirements. Nothing was submitted at this time.","","TG:1909201126515475","","0","000000007EF3F36F","2129916753","","0"
"BP2019-0980","2019-09-23 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(9/23/2019 1:40:24 PM TG) Action Created(9/23/2019 1:40 PM TG) I made Made Lourdes an estimate on a potential MH she would like to put on her property.","","TG:1909230140246458","","0","000000007F066B72","2131127152","","0"
"BP2014-0107","2019-09-27 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(9/27/2019 9:36:15 AM TG) Action Created(9/27/2019 9:36 AM TG) Per Tom, I added a revision fee of $149.00 for the addendum. I recieved the C&D Plan - YSAQMD Questionnaire/Asbestos Report from Brandon Von Aesch","","TG:1909270936159778","","0","000000007F424758","2135050070","","0"
"FE2019-0649","2019-09-30 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(9/30/2019 12:50:59 PM TG) Action Created(9/30/2019 12:50 PM TG) 31600 Country Road 27, Woodland, CA - see address packet","","TG:1909301250590925","","0","000000007F5BA118","2136711446","","0"
"FE2019-0654","2019-10-02 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(10/2/2019 8:58:21 AM TG) Action Created(10/2/2019 8:58 AM TG) 28892 CR 4, Dunnigan, CA","","TG:1910020858213342","","0","000000007F826238","2139251254","","0"
"BP2019-1020","2019-10-04 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(10/4/2019 1:28:41 PM TG) Action Created(10/4/2019 1:28 PM TG) Customer came to submit for Roof mount but the valuation was more than 1/2 of the assessed value of the structures on the property. They need to bring back either ane Elevation Cert showing they are above the BFE or an Appraisal.","","TG:1910040128416733","","0","000000007FA89BF8","2141756406","","0"
"FE2019-0683","2019-10-17 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(10/17/2019 10:54:33 AM TG) Action CreatedAssigned Address: 37449 State Highway 16, Woodland, CA 95695","","TG:1910171054336529","","0","00000000805F1A8B","2153708918","","0"
"BP2019-1253","2019-12-18 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(12/18/2019 9:36:11 AM TG) Action Created(12/18/2019 9:36 AM TG) I mailed Mr. Lawrence the permit documents per his request.","","TG:1912180936118351","","0","00000000832CC91F","2200749849","","0"
"BP2019-1261","2020-01-03 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(1/3/2020 2:29:01 PM TG) Action CreatedAddress: 26611 CR 89, Winters, CA","","TG:2001030229016197","","0","0000000083A5D3FB","2208682971","","0"
"FE2020-0003","2020-01-06 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(1/6/2020 8:10:42 AM TG) Action Created(1/6/2020 8:10 AM TG) Assigned Address: 20550 Old River RD, West Sacramento, CA 95691","","TG:2001060810426456","","0","0000000083B1D5C1","2209469887","","0"
"FE2020-0024","2020-01-09 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(1/9/2020 8:47:28 AM TG) Action Created(1/9/2020 8:47 AM TG) 28818 CR 5, Dunnigan, CA 95937","","TG:2001090847282727","","0","0000000083E5EEF2","2212884208","","0"
"FE2020-0024","2020-01-09 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(1/9/2020 9:34:59 AM TG) Action Created(1/9/2020 9:34 AM TG) I informed Olie to check with the Fire Department for driveway access requirements and to make sure he can legally install a driveway in the public right-of-way on CR 5.","","TG:2001090934592789","","0","0000000083E78D58","2212990294","","0"
"FE2020-0026","2020-01-10 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(1/10/2020 2:18:17 PM TG) Action Created(1/10/2020 2:18 PM TG) Assigned Address: 9781 County Road 99W, Zamora, CA 95698","","TG:2001100218174460","2020-01-10 00:00:00","0","0000000083F6DB47","2213993255","","0"
"FE2020-0025","2020-01-10 00:00:00","FISCAL COMMENTS","TRACY GONZALEZ","(1/10/2020 11:14:34 AM TG) Action Created(1/10/2020 11:14 AM TG) Offset costs - fsa fees not required according to Ch. 14 Section 3-14.04(5)(d) of the Yolo County Code of Ordinances.(1/10/2020 11:14 AM TG)See attachments for building permits pulled for the demolition and proposed new SFD.","","TG:2001101114343843","","0","0000000083F5CFF1","2213924737","","0"
"BP2019-0999","2020-01-15 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(1/15/2020 2:45:58 PM TG) Action Created(1/15/2020 2:45 PM TG) Address for Duplex: 17868 Railroad Street / 17876 Railroad Street","","TG:2001150245589910","2020-01-15 00:00:00","0","00000000843214DF","2217873285","","0"
"BP2016-1004","2020-01-27 00:00:00","REINSTATE PERMIT","TRACY GONZALEZ","(1/27/2020 10:02:49 AM TG) Action Created(1/27/2020 10:02 AM TG) Carl Cook came in today to reinstate the permit for the Chevron Signs - see attached.","","TG:2001271002480310","2020-01-27 00:00:00","0","0000000084AF8210","2226094606","","0"
"BP2019-0999","2020-01-30 00:00:00","PLAN CHECK LETTER SENT","TRACY GONZALEZ","(1/30/2020 8:31:26 AM TG) Action Created(1/30/2020 8:31 AM TG) Noel Chavez received the Plan Check Letter that Scott  sent to him and came into the office to inquire about the comments. He informed us that his plan designer can no longer help him due to health issues and that he needs to find another designer but didn't have another set of plans to provide them. We provided him with the energy calcs and the single set of plans he originally submitted in order for him to revise his plans. We informed him he needed to bring back (2) new stamped sets once he has the corrections.","","TG:2001300831264234","2020-01-29 00:00:00","0","0000000084CF2601","2228168142","","0"
"FE2020-0099","2020-01-31 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(1/31/2020 4:00:36 PM TG) Action Created(1/31/2020 4:00 PM TG) Assigned Address: 29371 CR 12A, Zamora","","TG:2001310400367738","2020-01-31 00:00:00","0","0000000084E9C345","2229912387","","0"
"FE2020-0100","2020-01-31 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(1/31/2020 4:04:50 PM TG) Action Created(1/31/2020 4:04 PM TG) Assigned Address: 29401 County Road 12A","","TG:2001310404507752","2020-01-31 00:00:00","0","0000000084E9DBDB","2229918681","","0"
"BP2020-0095","2020-02-03 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(2/3/2020 9:23:44 AM TG) Action Created(2/3/2020 9:23 AM TG) Customer came in to submit and only had an application. I informed applicant that we need a set of plans detailing the ADA Compliance Upgrades and a Site Plan.","","TG:2002030923448093","","0","0000000084F2DD37","2230508853","","0"
"BP2020-0105","2020-02-04 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(2/4/2020 8:42:57 AM TG) Action Created(2/4/2020 8:42 AM TG) I gave Veronica an estimate using her $4k valuation and gave her a range up to $20K to refelct average construction costs for labor and materials.","","TG:2002040842579758","2020-02-04 00:00:00","0","0000000085003F2A","2231385735","","0"
"FE2020-0177","2020-03-18 00:00:00","GENERAL NOTE","TRACY GONZALEZ","(3/18/2020 12:54:56 PM TG) Action Created(3/18/2020 12:54 PM TG) Fees N/A - 770 sqft ADU","","TG:2003181254560587","2020-03-18 00:00:00","0","0000000086D9A0A1","2262409375","","0"
"BP2017-0289","2020-05-19 00:00:00","REINSTATE PERMIT","TRACY GONZALEZ","(5/19/2020 1:28:57 PM TG) Action Created(5/19/2020 1:28 PM TG) See attached reinstate request","","TG:2005190128574767","2020-05-19 00:00:00","0","0000000088258319","2284159767","","0"
"BP2018-0282","2020-05-19 00:00:00","EXTENSION REQUEST","TRACY GONZALEZ","(5/19/2020 4:04:43 PM TG) Action Created(5/19/2020 4:04 PM TG) SEE ATTACHED EXT REQUEST","","TG:2005190404435241","2020-05-19 00:00:00","0","00000000882D37C9","2284664775","","0"
"BP2020-0157","2020-05-27 00:00:00","CORRESPONDENCE","TOM DAVIS","(5/27/2020 3:13:55 PM TG) Action Created(5/27/2020 3:13 PM TG) I emailed Marlene to let her know her permit is ready to issue.","","TG:2005270313550688","2020-05-27 00:00:00","0","000000008874C70A","2289354504","","0"
"BP2020-0157","2020-05-29 00:00:00","CORRESPONDENCE","TRACY GONZALEZ","(6/2/2020 10:03:10 PM TG) Action Created(6/2/2020 10:03 PM TG) Marlene let me know that they may not continue this project and do not want to pick up the plans at this time. Project is on hold. See attached email.","","TG:2006021003106565","2020-05-29 00:00:00","0","0000000088B5E346","2293621486","","0"
"BP2020-0183","2020-06-11 00:00:00","CORRESPONDENCE","TRACY GONZALEZ","(6/11/2020 1:51:41 PM TG) Action Created(6/11/2020 1:51 PM TG) Chris Campbell is delaying the permit signing until they deal with the Corps on the 408. They are hoping to resolve in July to proceed.(7/24/2020 9:40 PM TG)Issued the plans today. Everything was resolved.","","TG:2006110151413818","2020-06-11 00:00:00","0","000000008AE36581","2300615090","","0"
"BP2020-0443","2020-06-26 00:00:00","CORRESPONDENCE","TRACY GONZALEZ","(6/26/2020 11:18:49 AM TG) Action Created(6/26/2020 11:18 AM TG) Emailed Debbie for a revised Site Plan per Scott's request.","","TG:2006261118493252","2020-06-26 00:00:00","0","0000000089B56CB9","2310368439","","0"
"FE2020-0344","2020-07-14 00:00:00","ASR-ADDRESS","TRACY GONZALEZ","(7/14/2020 2:14:47 PM TG) Action Created(7/14/2020 2:14 PM TG) 29613 County Road 8, Dunnigan, CA 9593729618 County Road 8, Dunnigan, CA 9593729623 County Road 8, Dunnigan, CA 95937","","TG:2007140214474898","2020-07-14 00:00:00","0","000000008A691A2A","2322143784","","0"
"BP2022-0517","2022-06-08 00:00:00","FISCAL COMMENTS","TRACY GONZALEZ","(6/8/2022 2:45:33 PM TG) Action Created(6/8/2022 2:45 PM TG) Scott and I coordinated to submit a refund request to fiscal for the $141 Zone Clearance fee that was charged incorrectly.","","TG:2206080245336841","","0","00000000AB4D55FB","2873972217","","0"
"BP2018-0685","2018-10-01 00:00:00","GENERAL NOTE","TRACY NEW","(10/1/2018 2:59:35 PM TN) Action Created(10/1/2018 3:00 PM TN)Representative of the owner came in and paid fees - he still needs a letter of authorization to sign for the owner before we ISSUE permit.","","TN:1810010259359790","","0","000000006B0D9BA5","1796053495","","0"
"BP2018-0916","2018-12-18 00:00:00","GENERAL NOTE","TRACY NEW","(12/18/2018 2:03:11 PM TN) Action Created(12/18/2018 2:03 PM TN) Buck brought in Cycle 3 to show on page A4 the change where the window was in the shear wall.","","TN:1812180203129326","","0","000000007105C475","1896203379","","0"
"FE2018-0557","2018-12-19 00:00:00","FISCAL COMMENTS","TRACY NEW","(12/19/2018 2:00:43 PM TN) Action Created(12/19/2018 2:00 PM TN) Donald came in today to submit documentation for a FSA Fee Refund. He submitted the receipts from original payment, a letter requesting the refund, as well as plans to show that the structure is an Accessory Dwelling Unit (ADU). I routed submission to Tom.","","TN:1812190200430912","","0","0000000071192D37","1897475381","","0"
"BP2019-0074","2019-01-30 00:00:00","GENERAL NOTE","TRACY NEW","(1/30/2019 10:00:05 AM TN) Action Created(1/30/2019 10:00 AM TN) See BP2019-0068 for Planning & Tech Fee; see also for EH Fee.(2/11/2019 2:14 PM TN)BP2019-0068 through 0073 are VOID until further notice; EH, Planning and Planning Tech fee were charged on BP2019-0074 instead for both 0074 & 0075.","","TN:1901301000066493","","0","000000007347C835","1923866354","","0"
"BP2019-0074","2019-02-05 00:00:00","NOTICE OF FEES DUE","TRACY NEW","(2/5/2019 2:38:37 PM TN) Action Created(2/5/2019 2:38 PM TN) The property owner never came to pay the fees - I voided the permit and deleted the 'due' & 'sent' dates for the reviews until payment is received.","","TN:1902050238374574","2019-02-08 00:00:00","0","0000000073480D50","1928755756","","0"
"BP2019-0075","2019-02-05 00:00:00","NOTICE OF FEES DUE","TRACY NEW","(2/5/2019 2:39:57 PM TN) Action Created(2/5/2019 2:39 PM TN) The property owner never came to pay the fees - I voided the permit and deleted the 'due' & 'sent' dates for the reviews until payment is received.","","TN:1902050239584581","2019-02-08 00:00:00","0","0000000073480AED","1928756080","","0"
"BP2019-0075","2019-01-30 00:00:00","GENERAL NOTE","TRACY NEW","(2/5/2019 2:41:28 PM TN) Action Created(2/5/2019 2:41 PM TN) See BP2019-0068 for Planning & Tech Fee; see also for EH Fee.(2/11/2019 2:16 PM TN)BP2019-0068 through 0073 are VOID until further notice; EH, Planning and Planning Tech fee were charged on BP2019-0074 instead for both 0074 & 0075.","","TN:1902050241284597","","0","0000000073480ABF","1928756995","","0"
"BP2019-0124","2019-02-07 00:00:00","GENERAL NOTE","TRACY NEW","(2/7/2019 2:06:13 PM TN) Action Created(2/7/2019 2:06 PM TN) Need to check with Tom about EH's Review/Fee and the Code Case Fees for CE2018-0008. Customer will come back to pay EH Fee if needed.","","TN:1902070206137508","","0","0000000073164682","1930839680","","0"
"PW2013-0023","2013-01-25 00:00:00","CORRESPONDENCE","TODD RIDDIOUGH","(1/25/2013 10:04:26 AM TR) Action Created(1/25/2013 10:04 AM TR)Draft permit emailed for signature today.","","TR:1301251004261454","2013-01-25 00:00:00","0","000000000A0D6AEC","168651454","",""
"PW2013-0023","2013-03-04 00:00:00","ISSUED PERMIT","TODD RIDDIOUGH","(3/4/2013 8:05:12 AM TR) Action Created(3/4/2013 8:06 AM TR)Sent one of two signed copies to DWR in self-addressed prepaid envelope provided by DWR.","","TR:1303040805129553","2013-03-04 00:00:00","0","000000000AABA405","179020700","",""
"SW2014-0001","2018-09-28 00:00:00","PUBLIC WORKS NOTES","NICHOLAS S BURTON","(11/5/2014 7:57:33 AM TR) Action Created(11/5/2014 7:57 AM TR) NOT filed?(2/1/2017 9:12 AM TR)Project not complete.  Requested update from MWH on submittal of a COI to State today.(3/23/2017 1:56 PM TR)COI filed on SMARTS on 2/22/17 (see attached); extends expiration to 12/13/17.","","TR:1411050757336751","","0","0000000069FC0047","527905887","","0"
"SW2012-0002","2017-06-09 00:00:00","PUBLIC WORKS NOTES","TODD RIDDIOUGH","(12/15/2014 9:37:25 AM TR) Action Created(12/15/2014 9:37 AM TR) NOT filed?Annual report filing notice from State (attached).  Not completed by applicant.(1/29/2015 8:09 AM TR)Second non-compliance letter attached for not submitting annual report.(2/27/2015 1:02 PM TR)Checked SMARTS for NOT filing; not completed.(5/21/2015 8:47 AM TR)Checked SMARTS for NOT filing; not completed.(12/2/2015 10:12 AM TR)Checked SMARTS for NOT filing; not completed.(4/27/2016 3:27 PM TR)Checked SMARTS for NOT filing; not completed.(9/7/2016 9:45 AM TR)Checked SMARTS for NOT filing; not completed.(6/9/2017 8:51 AM TR)COI filed.  Extended to 9/1/17.","","TR:1412150937259360","2017-06-09 00:00:00","0","00000000515B94B5","557728918","","0"
"PW2011-0087","2016-07-14 00:00:00","PUBLIC WORKS NOTES","TODD RIDDIOUGH","(7/14/2016 1:16:00 PM TR) Action Created(7/14/2016 1:16 PM TR) Belinda ended up transferring money from PW2011-0087 to cover the $94.20 deficit and close out PW2011-0086.  Received a $94.20 check today from Frontier and deposited it into PW2011-0087, since Belinda had already closed out PW2011-0086.","","TR:1607140116003805","2016-07-14 00:00:00","0","000000004183F9B1","1099168089","","0"
"PW2016-0041","2018-05-04 00:00:00","PUBLIC WORKS NOTES","TODD RIDDIOUGH","(10/12/2016 12:30:00 PM TR) Action Created(10/12/2016 12:30 PM TR) YCFCWCD is in process of changing installation design for pole along CR41.  See TNR.(11/4/2016 9:09 AM TR)Sent comments on proposed design to YCFCWCD on 11/4/16.  Need to revise and resubmit sealed calcs before plan modification may be acceptable.  See TNR.(4/30/2018 11:29 AM TR)Follow up on work status.  Not installed to date.(11/17/2022 9:05 AM TR)Was installed, however YCFCWCD informed me this week the camera was stolen.  District plans to remove equipment they installed in the DWR cabinet to power the camera before DWR relocates their equipment to the replacement bridge.","","TR:1610121230004854","2022-11-17 00:00:00","0","00000000B3C67327","1176098953","","0"
"SW2017-0002","2017-02-22 00:00:00","PUBLIC WORKS NOTES","TODD RIDDIOUGH","(2/21/2017 2:53:34 PM TR) Action Created(2/21/2017 2:53 PM TR) Download SWPPP from SMARTS","","TR:1702210253332016","2017-02-22 00:00:00","0","000000004BAC4627","1268552996","","0"
"SW2017-0010","2017-08-09 00:00:00","PUBLIC WORKS NOTES","TODD RIDDIOUGH","(8/7/2017 1:25:22 PM TR) Action Created(8/7/2017 1:25 PM TR) Active in SMARTS?","","TR:1708070125224127","2017-08-11 00:00:00","0","000000005486C952","1413542504","","0"
"SW2016-0022","2017-08-25 00:00:00","PUBLIC WORKS NOTES","TODD RIDDIOUGH","(8/17/2017 11:54:36 AM TR) Action Created(8/17/2017 11:54 AM TR) COI updated with a 2018 date?","","TR:1708171154364585","2017-08-24 00:00:00","0","000000005553A734","1424221685","","0"
"SW2017-0006","2017-08-31 00:00:00","PUBLIC WORKS NOTES","TODD RIDDIOUGH","(8/29/2017 9:48:30 AM TR) Action Created(8/29/2017 9:48 AM TR) Check SMARTS to download docs.","","TR:1708290948305935","2017-08-30 00:00:00","0","0000000055A5A226","1435539808","","0"
"SW2017-0018","2017-10-20 00:00:00","PUBLIC WORKS NOTES","TODD RIDDIOUGH","(9/26/2017 1:39:54 PM TR) Action Created(9/26/2017 1:39 PM TR) Over one acre disturbance.  WDID# not provided to date.","","TR:1709260139542058","2017-10-19 00:00:00","0","0000000058A82457","1461494685","","0"
"PW2018-0027","2018-01-30 00:00:00","PUBLIC WORKS NOTES","TODD RIDDIOUGH","(1/30/2018 4:53:28 PM TR) Action Created(1/30/2018 4:53 PM TR) An actual encroachment permit was not issued, as Yolo County is responsible for this planting.  RCD was only contracted to do the planting.  Any vegetation maintenance responsibility going forward is that of Yolo County.  This permit record was generated to note Yolo County's responsibility for the no spray zone, and to show this planting location on the no spray map.","","TR:1801300453281231","2018-01-30 00:00:00","0","000000005D5F9733","1566545713","","0"
